STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
IN020040900,"MADRAS MINAMBAKKAM, IN",09-07-2000,0.02,87,,
IN020040900,"MADRAS MINAMBAKKAM, IN",10-07-2000,0,90,98,80
IN020040900,"MADRAS MINAMBAKKAM, IN",11-07-2000,0.02,83,89,
IN020040900,"MADRAS MINAMBAKKAM, IN",12-07-2000,0.01,89,,79
IN020040900,"MADRAS MINAMBAKKAM, IN",13-07-2000,0.01,86,92,80
IN020040900,"MADRAS MINAMBAKKAM, IN",14-07-2000,0,87,97,
IN020040900,"MADRAS MINAMBAKKAM, IN",15-07-2000,,87,100,80
IN020040900,"MADRAS MINAMBAKKAM, IN",16-07-2000,,87,99,80
IN020040900,"MADRAS MINAMBAKKAM, IN",17-07-2000,,87,98,
IN020040900,"MADRAS MINAMBAKKAM, IN",18-07-2000,0.16,88,99,78
IN020040900,"MADRAS MINAMBAKKAM, IN",19-07-2000,0,89,100,
IN020040900,"MADRAS MINAMBAKKAM, IN",20-07-2000,,84,97,
IN020040900,"MADRAS MINAMBAKKAM, IN",21-07-2000,0.67,84,96,74
IN020040900,"MADRAS MINAMBAKKAM, IN",22-07-2000,0,82,91,
IN020040900,"MADRAS MINAMBAKKAM, IN",23-07-2000,,85,96,77
IN020040900,"MADRAS MINAMBAKKAM, IN",24-07-2000,,83,98,
IN020040900,"MADRAS MINAMBAKKAM, IN",25-07-2000,0.94,81,85,72
IN020040900,"MADRAS MINAMBAKKAM, IN",26-07-2000,0,87,97,78
IN020040900,"MADRAS MINAMBAKKAM, IN",27-07-2000,,88,,80
IN020040900,"MADRAS MINAMBAKKAM, IN",28-07-2000,,86,,
IN020040900,"MADRAS MINAMBAKKAM, IN",29-07-2000,1.54,84,95,73
IN020040900,"MADRAS MINAMBAKKAM, IN",30-07-2000,0,83,95,77
IN020040900,"MADRAS MINAMBAKKAM, IN",31-07-2000,0.12,85,94,78
IN020040900,"MADRAS MINAMBAKKAM, IN",01-08-2000,0,85,95,
IN020040900,"MADRAS MINAMBAKKAM, IN",02-08-2000,,83,95,75
IN020040900,"MADRAS MINAMBAKKAM, IN",03-08-2000,,86,94,77
IN020040900,"MADRAS MINAMBAKKAM, IN",04-08-2000,,86,94,79
IN020040900,"MADRAS MINAMBAKKAM, IN",05-08-2000,,85,93,80
IN020040900,"MADRAS MINAMBAKKAM, IN",06-08-2000,,84,95,
IN020040900,"MADRAS MINAMBAKKAM, IN",07-08-2000,,82,92,
IN020040900,"MADRAS MINAMBAKKAM, IN",08-08-2000,,83,94,75
IN020040900,"MADRAS MINAMBAKKAM, IN",09-08-2000,,81,89,
IN020040900,"MADRAS MINAMBAKKAM, IN",10-08-2000,0.35,82,90,74
IN020040900,"MADRAS MINAMBAKKAM, IN",11-08-2000,0,84,93,78
IN020040900,"MADRAS MINAMBAKKAM, IN",12-08-2000,0,86,,78
IN020040900,"MADRAS MINAMBAKKAM, IN",13-08-2000,,85,95,79
IN020040900,"MADRAS MINAMBAKKAM, IN",14-08-2000,0.35,82,93,74
IN020040900,"MADRAS MINAMBAKKAM, IN",15-08-2000,0.16,82,90,75
IN020040900,"MADRAS MINAMBAKKAM, IN",16-08-2000,0,83,96,
IN020040900,"MADRAS MINAMBAKKAM, IN",17-08-2000,0,85,95,76
IN020040900,"MADRAS MINAMBAKKAM, IN",18-08-2000,0,81,93,
IN020040900,"MADRAS MINAMBAKKAM, IN",19-08-2000,0.12,83,92,76
IN020040900,"MADRAS MINAMBAKKAM, IN",20-08-2000,0,83,94,
IN020040900,"MADRAS MINAMBAKKAM, IN",21-08-2000,0.51,81,88,76
IN020040900,"MADRAS MINAMBAKKAM, IN",22-08-2000,0.08,79,83,
IN020040900,"MADRAS MINAMBAKKAM, IN",23-08-2000,0.2,83,90,74
IN020040900,"MADRAS MINAMBAKKAM, IN",24-08-2000,0,85,95,78
IN020040900,"MADRAS MINAMBAKKAM, IN",25-08-2000,0,86,94,80
IN020040900,"MADRAS MINAMBAKKAM, IN",26-08-2000,0,85,94,
IN020040900,"MADRAS MINAMBAKKAM, IN",27-08-2000,,89,96,80
IN020040900,"MADRAS MINAMBAKKAM, IN",28-08-2000,0,87,97,80
IN020040900,"MADRAS MINAMBAKKAM, IN",29-08-2000,,85,98,
IN020040900,"MADRAS MINAMBAKKAM, IN",30-08-2000,,84,92,
IN020040900,"MADRAS MINAMBAKKAM, IN",31-08-2000,0.08,85,96,78
IN020040900,"MADRAS MINAMBAKKAM, IN",01-09-2000,0,87,98,80
IN020040900,"MADRAS MINAMBAKKAM, IN",02-09-2000,0.2,86,97,78
IN020040900,"MADRAS MINAMBAKKAM, IN",03-09-2000,0.03,83,97,
IN020040900,"MADRAS MINAMBAKKAM, IN",04-09-2000,0.51,84,96,74
IN020040900,"MADRAS MINAMBAKKAM, IN",05-09-2000,0.01,84,97,78
IN020040900,"MADRAS MINAMBAKKAM, IN",06-09-2000,0,86,97,78
IN020040900,"MADRAS MINAMBAKKAM, IN",07-09-2000,0.01,84,95,79
IN020040900,"MADRAS MINAMBAKKAM, IN",08-09-2000,0,85,,
IN020040900,"MADRAS MINAMBAKKAM, IN",09-09-2000,1.26,82,93,73
IN020040900,"MADRAS MINAMBAKKAM, IN",10-09-2000,0,86,97,
IN020040900,"MADRAS MINAMBAKKAM, IN",11-09-2000,,84,95,78
IN020040900,"MADRAS MINAMBAKKAM, IN",12-09-2000,,84,95,79
IN020040900,"MADRAS MINAMBAKKAM, IN",13-09-2000,0,83,96,77
IN020040900,"MADRAS MINAMBAKKAM, IN",14-09-2000,,87,96,
IN020040900,"MADRAS MINAMBAKKAM, IN",15-09-2000,,85,97,79
IN020040900,"MADRAS MINAMBAKKAM, IN",16-09-2000,,86,99,77
IN020040900,"MADRAS MINAMBAKKAM, IN",17-09-2000,,85,95,78
IN020040900,"MADRAS MINAMBAKKAM, IN",18-09-2000,0.08,83,94,
IN020040900,"MADRAS MINAMBAKKAM, IN",19-09-2000,0.08,83,92,76
IN020040900,"MADRAS MINAMBAKKAM, IN",20-09-2000,0,85,94,77
IN020040900,"MADRAS MINAMBAKKAM, IN",21-09-2000,0.47,83,91,78
IN020040900,"MADRAS MINAMBAKKAM, IN",22-09-2000,0.87,84,,75
IN020040900,"MADRAS MINAMBAKKAM, IN",23-09-2000,0.12,84,,78
IN020040900,"MADRAS MINAMBAKKAM, IN",24-09-2000,0,84,,
IN020040900,"MADRAS MINAMBAKKAM, IN",25-09-2000,0,83,91,
IN020040900,"MADRAS MINAMBAKKAM, IN",26-09-2000,0.91,82,89,76
IN020040900,"MADRAS MINAMBAKKAM, IN",27-09-2000,0.47,80,87,
IN020040900,"MADRAS MINAMBAKKAM, IN",28-09-2000,0.16,84,91,77
IN020040900,"MADRAS MINAMBAKKAM, IN",29-09-2000,0,83,94,
IN020040900,"MADRAS MINAMBAKKAM, IN",30-09-2000,0.63,80,94,76
IN020040900,"MADRAS MINAMBAKKAM, IN",01-10-2000,0,82,92,76
IN020040900,"MADRAS MINAMBAKKAM, IN",02-10-2000,0,82,91,76
IN020040900,"MADRAS MINAMBAKKAM, IN",03-10-2000,0.03,82,93,
IN020040900,"MADRAS MINAMBAKKAM, IN",04-10-2000,2.01,82,93,72
IN020040900,"MADRAS MINAMBAKKAM, IN",05-10-2000,0.24,81,88,75
IN020040900,"MADRAS MINAMBAKKAM, IN",06-10-2000,0,80,89,
IN020040900,"MADRAS MINAMBAKKAM, IN",07-10-2000,3.23,80,87,73
IN020040900,"MADRAS MINAMBAKKAM, IN",08-10-2000,0.04,81,89,76
IN020040900,"MADRAS MINAMBAKKAM, IN",09-10-2000,0.02,82,90,76
